sequence,drummer,session,id,style,midi_filename,audio_filename,bpm,split,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15
483,drummer1,drummer1/session3,drummer1/session3/16,funk,drummer1/session3/16_funk_117_beat_4-4.mid,drummer1/session3/16_funk_117_beat_4-4.wav,117,train,1.7603412,1.3984778,1.1946051,1.6901315,1.8147149,1.5434121,1.3693285,1.7216566,1.6690749,1.493141,1.0,1.547299,1.7120628,1.6761526,1.6414791,1.7965826
484,drummer1,drummer1/session3,drummer1/session3/17,afrocuban/calypso,drummer1/session3/17_afrocuban-calypso_108_beat_4-4.mid,drummer1/session3/17_afrocuban-calypso_108_beat_4-4.wav,108,train,3.984496,3.984496,3.984496,3.984496,3.984496,3.984496,3.984496,3.432577,3.7328103,3.9692574,2.2251647,1.2685585,1.82397,1.3205166,1.0,1.0505174
485,drummer1,drummer1/session3,drummer1/session3/18,rock,drummer1/session3/18_rock_128_beat_4-4.mid,drummer1/session3/18_rock_128_beat_4-4.wav,128,train,3.5834754,3.5834754,3.5834754,2.832862,3.488176,3.5720224,3.575397,1.2752882,1.0,1.8340303,2.493004,1.5491245,2.1630905,1.625667,2.1052508,1.2996624
486,drummer1,drummer1/session3,drummer1/session3/2,jazz/swing,drummer1/session3/2_jazz-swing_185_beat_4-4.mid,drummer1/session3/2_jazz-swing_185_beat_4-4.wav,185,train,4.215699,4.2169247,4.2166233,4.2165422,4.216016,4.225069,4.226236,4.226236,4.226236,4.226236,2.2889593,1.233002,1.0,1.74344,2.3571167,1.90301
487,drummer1,drummer1/session3,drummer1/session3/3,rock/rockabilly,drummer1/session3/3_rock-rockabilly_200_beat_4-4.mid,drummer1/session3/3_rock-rockabilly_200_beat_4-4.wav,200,train,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,5.0508776,1.4263692,1.1519057,1.0,1.7731718,2.4703057
488,drummer1,drummer1/session3,drummer1/session3/4,jazz/linear,drummer1/session3/4_jazz-linear_182_beat_4-4.mid,drummer1/session3/4_jazz-linear_182_beat_4-4.wav,182,train,1.204837,1.2005943,1.2813148,1.3393021,1.2550576,1.0565296,1.3397913,1.1566627,1.150307,1.2436289,1.3542216,1.3896159,1.369732,1.0,1.3205404,1.3542242
489,drummer1,drummer1/session3,drummer1/session3/5,jazz/linear,drummer1/session3/5_jazz-linear_128_beat_4-4.mid,drummer1/session3/5_jazz-linear_128_beat_4-4.wav,128,train,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.9210763,1.857118,1.0765349,1.0,1.0588006,1.0479678
490,drummer1,drummer1/session3,drummer1/session3/6,dance/disco,drummer1/session3/6_dance-disco_120_beat_4-4.mid,drummer1/session3/6_dance-disco_120_beat_4-4.wav,120,train,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,4.334581,3.5974052,1.0,2.073717,2.011176
491,drummer1,drummer1/session3,drummer1/session3/7,dance/disco,drummer1/session3/7_dance-disco_120_beat_4-4.mid,drummer1/session3/7_dance-disco_120_beat_4-4.wav,120,train,5.7915387,5.7915387,5.7915387,5.78057,3.6490412,5.104468,5.452779,5.6232724,3.386331,4.027045,5.0498853,2.857433,1.0,1.1083379,2.4585736,3.588831
492,drummer1,drummer1/session3,drummer1/session3/8,rock,drummer1/session3/8_rock_135_beat_4-4.mid,drummer1/session3/8_rock_135_beat_4-4.wav,135,train,5.186197,5.186197,5.186197,4.546875,5.0522265,5.170333,5.174842,5.071344,1.2642432,1.1201276,1.0,1.0074022,1.048089,1.9067123,1.8915464,2.5438893
493,drummer1,drummer1/session3,drummer1/session3/9,rock,drummer1/session3/9_rock_135_beat_4-4.mid,drummer1/session3/9_rock_135_beat_4-4.wav,135,train,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,3.3031168,1.2198226,1.0,1.6740891,2.2315714
494,drummer10,drummer10/session1,drummer10/session1/1,jazz/swing,drummer10/session1/1_jazz-swing_124_beat_4-4.mid,drummer10/session1/1_jazz-swing_124_beat_4-4.wav,124,train,1.5356826,1.1489244,1.4232377,1.5682924,1.2481986,1.6463037,1.6940097,1.5533173,1.044163,1.0,1.1267715,1.2804369,1.0286039,1.4195098,1.6766586,1.6332169
495,drummer10,drummer10/session1,drummer10/session1/10,jazz/swing,drummer10/session1/10_jazz-swing_110_beat_4-4.mid,drummer10/session1/10_jazz-swing_110_beat_4-4.wav,110,train,1.4215271,1.4215271,1.4215271,1.1446356,1.032181,1.2898681,1.3640141,1.3935206,1.4132924,1.4144796,1.4193538,1.4215271,1.0365772,1.0,1.2673917,1.3557577
496,drummer10,drummer10/session1,drummer10/session1/2,jazz/swing,drummer10/session1/2_jazz-swing_215_beat_4-4.mid,drummer10/session1/2_jazz-swing_215_beat_4-4.wav,215,train,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,2.4143198,1.4401057,1.079176,1.0,1.3020486,1.5573916,1.1394012
497,drummer10,drummer10/session1,drummer10/session1/3,jazz/swing,drummer10/session1/3_jazz-swing_215_beat_4-4.mid,drummer10/session1/3_jazz-swing_215_beat_4-4.wav,215,train,1.1859846,1.2040526,1.0,1.0769325,1.147334,1.1651256,1.1975986,1.2451829,1.2774639,1.3041471,1.0779035,1.0878084,1.181226,1.2030166,1.2283505,1.2607075
498,drummer10,drummer10/session1,drummer10/session1/4,jazz/swing,drummer10/session1/4_jazz-swing_215_beat_4-4.mid,drummer10/session1/4_jazz-swing_215_beat_4-4.wav,215,train,1.8732088,2.2055275,2.2303736,1.0,1.7892439,2.4084966,2.7536051,1.7687407,2.3372266,2.8083284,3.0738845,1.6482687,1.5857846,2.3979836,2.7599044,1.9679468
499,drummer10,drummer10/session1,drummer10/session1/5,jazz/swing,drummer10/session1/5_jazz-swing_215_beat_4-4.mid,drummer10/session1/5_jazz-swing_215_beat_4-4.wav,215,train,1.0,1.622616,2.073679,2.149932,1.2616597,1.9514074,2.3276227,2.3462617,1.0173092,1.6439865,2.0681932,1.5828863,1.5663413,2.0518847,2.188009,1.4706798
500,drummer10,drummer10/session1,drummer10/session1/6,jazz/swing,drummer10/session1/6_jazz-swing_215_beat_4-4.mid,drummer10/session1/6_jazz-swing_215_beat_4-4.wav,215,train,1.92277,1.0762216,1.6888111,2.1136508,2.4975207,1.0100784,1.3826538,1.7634577,1.0,1.4429826,1.9928842,2.2518988,2.365712,1.0186067,1.3568398,1.9252787
501,drummer10,drummer10/session1,drummer10/session1/7,jazz/swing,drummer10/session1/7_jazz-swing_215_beat_4-4.mid,drummer10/session1/7_jazz-swing_215_beat_4-4.wav,215,train,2.4656098,2.6012707,1.0,1.583743,2.114194,2.4653862,2.1399283,2.6485643,1.6659056,2.1409678,1.7265788,2.2238762,2.925593,2.16581,1.7476294,2.4220572
502,drummer10,drummer10/session1,drummer10/session1/8,jazz/swing,drummer10/session1/8_jazz-swing_215_beat_4-4.mid,drummer10/session1/8_jazz-swing_215_beat_4-4.wav,215,train,1.239095,1.4706562,1.6260178,1.1082798,1.0600333,1.5083019,1.8285005,1.3493342,1.2309666,1.6547867,1.4503853,1.2093617,1.0152828,1.3940777,1.7428238,1.0
503,drummer10,drummer10/session1,drummer10/session1/9,jazz/swing,drummer10/session1/9_jazz-swing_110_beat_4-4.mid,drummer10/session1/9_jazz-swing_110_beat_4-4.wav,110,train,1.0,1.5823034,2.1935976,2.2576642,1.4912875,1.7218797,2.051877,2.1914632,2.006583,1.4250307,2.3771975,2.8565803,2.7627218,1.8094846,3.0647602,3.3708107
504,drummer3,drummer3/session1,drummer3/session1/1,rock,drummer3/session1/1_rock_105_beat_4-4.mid,drummer3/session1/1_rock_105_beat_4-4.wav,105,train,1.2162924,1.3194959,1.4671841,1.5362533,1.0850562,1.0,1.4370795,1.8624859,1.3018234,1.6486703,1.5762552,1.9118273,1.0145721,1.3067825,1.6411321,2.0074084
505,drummer3,drummer3/session1,drummer3/session1/10,rock,drummer3/session1/10_rock_105_beat_4-4.mid,drummer3/session1/10_rock_105_beat_4-4.wav,105,train,1.5990384,2.2427013,2.2816603,2.1611252,1.2788202,2.1594522,2.1061044,2.490994,1.0,1.7290201,2.181329,1.5218425,1.9518152,1.394604,1.410694,2.0733058
506,drummer3,drummer3/session1,drummer3/session1/11,rock,drummer3/session1/11_rock_120_beat_4-4.mid,drummer3/session1/11_rock_120_beat_4-4.wav,120,test,1.8109319,1.7441946,1.0,1.4548513,1.686473,1.8318278,1.7996821,1.8681533,1.7161596,1.4579066,1.4529212,1.0795591,1.4070487,1.4554893,1.6324086,1.380236
507,drummer3,drummer3/session1,drummer3/session1/12,rock,drummer3/session1/12_rock_120_beat_4-4.mid,drummer3/session1/12_rock_120_beat_4-4.wav,120,train,1.4875159,1.7250053,1.8743001,1.9830439,1.0725209,1.3791413,1.73553,1.9371238,1.9334419,1.9824302,1.8020647,1.2311782,1.5526941,1.0,1.4020575,1.2767581
508,drummer3,drummer3/session1,drummer3/session1/13,rock,drummer3/session1/13_rock_120_beat_4-4.mid,drummer3/session1/13_rock_120_beat_4-4.wav,120,train,1.7461447,1.9625394,1.0,1.5655626,1.86827,2.3806086,1.9829112,2.273139,1.8206564,1.5660743,1.6768225,1.0791256,1.564268,1.6285019,2.3084447,1.1771754
509,drummer3,drummer3/session1,drummer3/session1/14,rock,drummer3/session1/14_rock_120_beat_4-4.mid,drummer3/session1/14_rock_120_beat_4-4.wav,120,test,1.0900058,1.2675861,1.2996378,1.3010172,1.3011427,1.3009529,1.3028407,1.3034097,1.0,1.0813701,1.2703717,1.2999418,1.3010299,1.3011342,1.3009641,1.3029506
510,drummer3,drummer3/session1,drummer3/session1/15,jazz,drummer3/session1/15_jazz_120_beat_4-4.mid,drummer3/session1/15_jazz_120_beat_4-4.wav,120,validation,1.0,1.1113871,1.162665,1.1924465,1.2284898,1.2744807,1.3020719,1.2585269,1.1480587,1.2597631,1.3045372,1.3501469,1.2789077,1.3459231,1.3994287,1.3916628
511,drummer3,drummer3/session1,drummer3/session1/16,jazz,drummer3/session1/16_jazz_120_beat_4-4.mid,drummer3/session1/16_jazz_120_beat_4-4.wav,120,train,1.0,1.4178013,1.7605932,1.7799897,1.8078259,1.8341492,1.8343639,1.532112,1.3762815,1.3398674,1.7374462,1.8277371,1.7686845,1.6668267,1.8294998,1.764612
512,drummer3,drummer3/session1,drummer3/session1/17,jazz,drummer3/session1/17_jazz_120_beat_4-4.mid,drummer3/session1/17_jazz_120_beat_4-4.wav,120,train,3.3649232,3.3649232,3.3649232,3.3649232,3.3649232,3.3649232,3.3649232,3.3649232,2.4761114,1.9989543,1.015308,1.0749457,1.0,1.16977,1.895337,1.4002014
513,drummer3,drummer3/session1,drummer3/session1/18,rock,drummer3/session1/18_rock_120_beat_4-4.mid,drummer3/session1/18_rock_120_beat_4-4.wav,120,train,1.0,1.3917767,1.6115038,1.730683,1.2745892,1.3566217,1.2483784,1.366863,1.1104375,1.0444452,1.3436979,1.5172437,1.6428481,1.064768,1.3088781,1.4513555
514,drummer3,drummer3/session1,drummer3/session1/19,jazz,drummer3/session1/19_jazz_120_beat_4-4.mid,drummer3/session1/19_jazz_120_beat_4-4.wav,120,train,1.5845122,2.1391122,2.5017006,1.8750161,1.0,1.7649333,2.0830655,2.219436,1.0946124,1.3988161,2.0285423,2.2992172,1.7251185,1.1662433,1.8422203,2.2811012
515,drummer3,drummer3/session1,drummer3/session1/2,rock,drummer3/session1/2_rock_105_beat_4-4.mid,drummer3/session1/2_rock_105_beat_4-4.wav,105,train,2.4201586,2.5402727,1.0,1.6276271,1.8259506,2.7598574,2.5622108,3.21092,2.1605747,2.5944371,1.984709,1.8532144,1.9629368,2.3889222,2.278312,2.0974157
516,drummer3,drummer3/session1,drummer3/session1/20,rock,drummer3/session1/20_rock_120_beat_4-4.mid,drummer3/session1/20_rock_120_beat_4-4.wav,120,train,1.4306821,1.4430963,1.3436797,1.457346,1.0,1.364562,1.5699644,1.4027685,1.2691463,1.2643851,1.5761875,1.3161274,1.4648141,1.057388,1.3869169,1.3398571
517,drummer3,drummer3/session1,drummer3/session1/21,jazz,drummer3/session1/21_jazz_120_beat_4-4.mid,drummer3/session1/21_jazz_120_beat_4-4.wav,120,train,1.0643653,1.4751081,1.8943299,1.3952886,1.7695838,1.3538815,1.137489,1.4124986,1.9210107,1.9672358,1.0,1.618997,1.0581638,1.1220456,1.2106067,1.0779102
518,drummer3,drummer3/session1,drummer3/session1/22,jazz,drummer3/session1/22_jazz_120_beat_4-4.mid,drummer3/session1/22_jazz_120_beat_4-4.wav,120,train,1.3102852,1.6275417,1.7513549,1.0,1.5636688,1.3787305,1.2433404,1.6431336,1.9665196,1.6797293,1.1578273,1.4529049,1.2839592,1.5146208,1.893667,1.0125833
519,drummer3,drummer3/session1,drummer3/session1/23,jazz,drummer3/session1/23_jazz_120_beat_4-4.mid,drummer3/session1/23_jazz_120_beat_4-4.wav,120,train,1.1597229,1.435822,1.5817387,1.3160609,1.1943507,1.6193,1.6046344,1.8169075,1.0,1.4892894,1.511631,1.7433467,1.4285462,1.291014,1.8101084,1.7720908
520,drummer3,drummer3/session1,drummer3/session1/24,rock,drummer3/session1/24_rock_120_beat_4-4.mid,drummer3/session1/24_rock_120_beat_4-4.wav,120,train,1.0,1.7281448,2.4080274,2.9433963,1.6306865,2.388708,2.9519882,3.1122837,1.6273084,1.3787336,2.0516922,2.7038128,2.5359924,1.7421561,2.6263745,3.0364687
521,drummer3,drummer3/session1,drummer3/session1/25,rock,drummer3/session1/25_rock_120_beat_4-4.mid,drummer3/session1/25_rock_120_beat_4-4.wav,120,train,1.4092273,1.2272743,2.0692573,1.2065176,1.6603192,1.2798347,1.1009831,1.7539175,1.636758,1.0,1.5028363,2.0620213,1.510628,1.3829367,1.5921475,1.7960575
522,drummer3,drummer3/session1,drummer3/session1/26,rock,drummer3/session1/26_rock_120_beat_4-4.mid,drummer3/session1/26_rock_120_beat_4-4.wav,120,test,1.6324227,1.0,1.3463955,1.217859,1.8473873,1.0244396,1.272215,2.291033,1.7977172,1.5549474,2.3090944,2.2338083,1.7699383,2.088112,2.559769,1.8896805
523,drummer3,drummer3/session1,drummer3/session1/27,rock,drummer3/session1/27_rock_120_beat_4-4.mid,drummer3/session1/27_rock_120_beat_4-4.wav,120,train,1.0,1.2624509,1.2134442,1.1472957,1.2312255,1.4626583,1.0108048,1.2274387,1.3462853,1.180476,1.2077886,1.2830412,1.3371427,1.4709905,1.561375,2.2044
524,drummer3,drummer3/session1,drummer3/session1/28,rock,drummer3/session1/28_rock_120_beat_4-4.mid,drummer3/session1/28_rock_120_beat_4-4.wav,120,train,1.9910653,1.0,1.6489084,1.3677545,1.1716034,1.814766,1.2232895,1.610089,1.867626,1.1424868,1.0517722,1.8610052,1.3032161,1.1140624,1.7543503,2.3748395
525,drummer3,drummer3/session1,drummer3/session1/29,rock,drummer3/session1/29_rock_120_beat_4-4.mid,drummer3/session1/29_rock_120_beat_4-4.wav,120,train,1.0,1.2506958,1.5043445,1.5349103,2.071141,1.4404382,2.324078,1.4600341,1.472585,2.0619628,1.8629584,1.493174,1.5258287,1.452731,1.4610478,1.6351954
526,drummer3,drummer3/session1,drummer3/session1/3,rock,drummer3/session1/3_rock_105_beat_4-4.mid,drummer3/session1/3_rock_105_beat_4-4.wav,105,train,1.3276037,2.228132,2.0831099,2.0432875,1.0,1.9386,1.5067409,2.2229679,2.0660655,2.6488028,1.5491428,2.2987092,1.1732653,1.5362464,1.579599,2.173954
527,drummer3,drummer3/session1,drummer3/session1/30,rock,drummer3/session1/30_rock_120_beat_4-4.mid,drummer3/session1/30_rock_120_beat_4-4.wav,120,train,1.0,1.7386975,1.6596324,1.6392772,1.4895871,1.9725294,1.8885531,2.2630606,1.8376697,1.8902788,1.8067982,1.9471909,1.832155,1.720802,1.785288,1.7028236
528,drummer3,drummer3/session1,drummer3/session1/31,jazz,drummer3/session1/31_jazz_120_beat_4-4.mid,drummer3/session1/31_jazz_120_beat_4-4.wav,120,train,1.5000234,1.1531724,1.7938629,1.2786064,1.2501416,1.1009417,1.0561119,1.1305711,1.1096421,1.3620219,1.7804157,1.0,1.8354287,1.3539697,1.3546782,1.2218196
529,drummer3,drummer3/session1,drummer3/session1/32,jazz,drummer3/session1/32_jazz_120_beat_4-4.mid,drummer3/session1/32_jazz_120_beat_4-4.wav,120,test,1.3071815,1.759001,1.9652113,1.383484,2.1770399,1.7916853,1.5481023,1.0,1.2404906,1.4227684,1.314568,1.7810925,1.5594409,1.5051544,1.8160429,1.3628514
530,drummer3,drummer3/session1,drummer3/session1/33,jazz,drummer3/session1/33_jazz_120_beat_4-4.mid,drummer3/session1/33_jazz_120_beat_4-4.wav,120,train,1.0441707,1.403806,1.625251,1.5958906,1.0282012,1.4539438,1.337356,1.3156573,1.3146122,1.210282,1.3662816,1.5116239,1.6492248,1.0,1.3911563,1.6443074
531,drummer3,drummer3/session1,drummer3/session1/34,rock,drummer3/session1/34_rock_120_beat_4-4.mid,drummer3/session1/34_rock_120_beat_4-4.wav,120,train,1.0654031,1.2642053,1.5214925,1.5186034,1.1710849,1.6037672,1.4700323,1.6617128,1.0,1.514351,1.696312,1.8306711,1.0779998,1.3331821,1.7201236,1.3816621
532,drummer3,drummer3/session1,drummer3/session1/35,rock,drummer3/session1/35_rock_120_beat_4-4.mid,drummer3/session1/35_rock_120_beat_4-4.wav,120,train,1.5486228,1.6841781,1.5011975,1.2938037,1.5772107,1.5278828,1.8112185,1.0,1.443781,1.7843239,1.8376937,1.2184294,1.2568192,1.7135264,1.3163073,1.3849579
533,drummer3,drummer3/session1,drummer3/session1/36,rock,drummer3/session1/36_rock_120_beat_4-4.mid,drummer3/session1/36_rock_120_beat_4-4.wav,120,train,1.0554365,1.617259,2.3444297,1.107837,1.3650146,1.6225852,1.0843349,1.4772216,1.0,1.4331179,1.8551666,1.1934149,1.9024606,1.3474239,1.4406551,1.5884231
534,drummer3,drummer3/session1,drummer3/session1/37,rock,drummer3/session1/37_rock_120_beat_4-4.mid,drummer3/session1/37_rock_120_beat_4-4.wav,120,validation,1.0,1.3577551,2.1353605,1.7740896,1.5101806,2.2361045,1.7169574,1.5628064,1.8596638,2.1149216,1.5513431,1.519347,1.9842372,1.0283417,1.1971011,1.3348533
535,drummer3,drummer3/session1,drummer3/session1/38,rock,drummer3/session1/38_rock_120_beat_4-4.mid,drummer3/session1/38_rock_120_beat_4-4.wav,120,train,1.0897892,1.2979321,1.3514181,1.1948582,1.3803835,1.9432416,1.361711,1.326064,1.8035542,1.5747753,1.7162489,1.7788892,1.3521729,1.0,1.2330879,1.3700662
536,drummer3,drummer3/session1,drummer3/session1/39,jazz,drummer3/session1/39_jazz_120_beat_4-4.mid,drummer3/session1/39_jazz_120_beat_4-4.wav,120,validation,1.2078439,1.7617606,2.6043277,1.3448021,2.328242,1.0,1.320257,2.245047,1.6003702,1.275457,1.486762,1.6821746,1.9569054,1.2396393,1.8372557,1.2490834
537,drummer3,drummer3/session1,drummer3/session1/4,rock,drummer3/session1/4_rock_105_beat_4-4.mid,drummer3/session1/4_rock_105_beat_4-4.wav,105,train,1.12686,1.7924174,2.1067164,2.3617592,2.2846124,2.4799888,1.7193438,1.8169016,1.0,1.6646227,1.7401803,2.0331614,1.7331302,2.0430021,2.132899,2.1395097
538,drummer3,drummer3/session1,drummer3/session1/40,rock,drummer3/session1/40_rock_120_beat_4-4.mid,drummer3/session1/40_rock_120_beat_4-4.wav,120,train,1.0,1.2947848,1.3113624,1.2713488,1.2362775,1.6801617,1.5034935,1.6430221,1.3354148,1.4427371,1.450149,1.9069397,1.9358069,1.6325766,1.8737311,1.5436661
539,drummer3,drummer3/session1,drummer3/session1/41,rock,drummer3/session1/41_rock_120_beat_4-4.mid,drummer3/session1/41_rock_120_beat_4-4.wav,120,validation,1.0,1.3976456,1.610469,1.2683628,1.2360426,2.0221045,1.5780495,1.3136379,1.5023217,1.598953,1.7077652,2.2149467,2.1326842,1.6904868,2.36334,2.2773898
540,drummer3,drummer3/session1,drummer3/session1/42,rock,drummer3/session1/42_rock_120_beat_4-4.mid,drummer3/session1/42_rock_120_beat_4-4.wav,120,train,1.0,1.1742184,1.196733,1.129618,1.038664,1.6100332,1.3596853,1.3931853,1.2764951,1.3823189,1.3363049,1.3327613,1.326508,1.1550201,1.1519707,1.164767
541,drummer3,drummer3/session1,drummer3/session1/43,rock,drummer3/session1/43_rock_120_beat_4-4.mid,drummer3/session1/43_rock_120_beat_4-4.wav,120,test,1.2020802,1.4387821,1.040887,1.0640152,1.1146342,1.0440202,1.1398156,1.0,1.3779416,1.153315,1.128737,1.0759536,1.3243566,1.0882033,1.0086423,1.2400283
542,drummer3,drummer3/session1,drummer3/session1/44,rock,drummer3/session1/44_rock_120_beat_4-4.mid,drummer3/session1/44_rock_120_beat_4-4.wav,120,train,1.8883799,1.2132118,1.2284851,1.3336477,1.0,1.1851438,1.2659233,1.2910707,1.3887655,1.4306246,1.6586913,1.8317468,1.9680243,2.143773,2.2799268,2.4064322
543,drummer3,drummer3/session1,drummer3/session1/45,rock,drummer3/session1/45_rock_120_beat_4-4.mid,drummer3/session1/45_rock_120_beat_4-4.wav,120,train,1.0776618,1.374324,1.4335194,1.4093353,1.1445557,1.2000325,1.4624904,1.1717879,1.2637553,1.1430578,1.4196546,1.20232,1.3079652,1.0,1.2445968,1.3645141
544,drummer3,drummer3/session1,drummer3/session1/46,rock,drummer3/session1/46_rock_120_beat_4-4.mid,drummer3/session1/46_rock_120_beat_4-4.wav,120,train,1.0404135,1.2776458,1.4492401,1.2509036,1.1749923,1.0541651,1.2855861,1.1854343,1.285052,1.0443503,1.2887794,1.3087381,1.2167803,1.0,1.0966294,1.3252085
545,drummer3,drummer3/session1,drummer3/session1/47,rock,drummer3/session1/47_rock_120_beat_4-4.mid,drummer3/session1/47_rock_120_beat_4-4.wav,120,train,4.1027193,1.2824296,1.451149,1.6922691,1.0,2.0333948,3.0409553,3.9362965,4.414284,4.5090156,4.529424,4.542093,4.549154,4.5553675,4.562601,4.567556
546,drummer3,drummer3/session1,drummer3/session1/48,rock,drummer3/session1/48_rock_120_beat_4-4.mid,drummer3/session1/48_rock_120_beat_4-4.wav,120,train,1.1957494,1.5874534,1.6869273,1.6355557,1.4314357,1.5012411,1.8176576,2.0048182,2.2370546,2.3758502,1.2005379,1.4906981,1.6939265,1.0,1.9622626,1.8240664
547,drummer3,drummer3/session1,drummer3/session1/49,rock,drummer3/session1/49_rock_120_beat_4-4.mid,drummer3/session1/49_rock_120_beat_4-4.wav,120,train,1.2477143,1.5558474,1.4861329,1.7451396,1.0499638,1.3327575,1.5623331,1.3828346,1.3884456,1.2789276,1.5713974,1.2936987,1.5211034,1.0,1.3308218,1.3405564
548,drummer3,drummer3/session1,drummer3/session1/5,rock,drummer3/session1/5_rock_105_beat_4-4.mid,drummer3/session1/5_rock_105_beat_4-4.wav,105,train,1.4872082,2.3765128,2.846943,2.2233837,2.4197464,2.3668265,2.5637243,2.8584538,2.9516234,1.9595873,2.0066576,2.9255388,1.0,1.8890351,2.287554,2.7302217
549,drummer3,drummer3/session1,drummer3/session1/50,rock,drummer3/session1/50_rock_120_beat_4-4.mid,drummer3/session1/50_rock_120_beat_4-4.wav,120,train,1.168926,1.4488463,1.2909579,1.5119631,1.0056822,1.2897129,1.4322743,1.4112203,1.273282,1.2460302,1.497393,1.1813967,1.3401233,1.0,1.2811503,1.4727387
550,drummer3,drummer3/session1,drummer3/session1/6,rock,drummer3/session1/6_rock_105_beat_4-4.mid,drummer3/session1/6_rock_105_beat_4-4.wav,105,train,1.0,1.5007979,1.9462113,2.0841615,2.3900695,2.412739,1.2092397,1.6995603,2.0737433,2.4235084,1.427298,1.7993423,1.4831146,1.4883639,1.8613294,2.0845718
551,drummer3,drummer3/session1,drummer3/session1/7,rock,drummer3/session1/7_rock_105_beat_4-4.mid,drummer3/session1/7_rock_105_beat_4-4.wav,105,validation,2.068988,2.2386935,2.8705664,2.173013,1.5087482,2.3707447,3.007819,3.4803152,2.8610082,2.787637,1.8640894,2.340739,1.0,1.854256,2.152008,2.6480358
552,drummer3,drummer3/session1,drummer3/session1/8,jazz,drummer3/session1/8_jazz_105_beat_4-4.mid,drummer3/session1/8_jazz_105_beat_4-4.wav,105,train,1.6891863,1.4969126,1.6113604,1.7307857,1.7114787,1.0,1.7064698,1.9298961,1.9704059,2.0198665,2.0717862,2.140391,1.9910686,2.105059,2.0755117,2.1834
553,drummer3,drummer3/session1,drummer3/session1/9,rock,drummer3/session1/9_rock_105_beat_4-4.mid,drummer3/session1/9_rock_105_beat_4-4.wav,105,train,1.1591357,1.4846193,1.5640337,1.7369745,1.0,1.3672476,1.5963161,1.7537974,1.6491315,1.8053188,1.2985845,1.3895067,1.0214393,1.142326,1.2539265,1.3584943
554,drummer3,drummer3/session2,drummer3/session2/1,rock,drummer3/session2/1_rock_100_beat_4-4.mid,drummer3/session2/1_rock_100_beat_4-4.wav,100,train,1.4168689,2.2550368,2.016695,1.7658778,1.0,1.5315933,1.8337903,1.9913702,1.4683717,2.131964,2.317992,2.240895,1.4289827,1.2005055,1.8219472,1.9142011
555,drummer3,drummer3/session2,drummer3/session2/10,rock,drummer3/session2/10_rock_100_beat_4-4.mid,drummer3/session2/10_rock_100_beat_4-4.wav,100,test,2.6363523,2.6363523,2.6363523,2.3444934,1.246234,1.9055914,2.0972474,1.9132329,1.0,1.3422846,1.5849568,2.1503465,1.5723207,1.7009802,2.0911164,2.2735138
556,drummer3,drummer3/session2,drummer3/session2/11,rock,drummer3/session2/11_rock_100_beat_4-4.mid,drummer3/session2/11_rock_100_beat_4-4.wav,100,test,1.0218225,1.6661974,1.9652103,1.2406245,1.6694009,1.2406735,1.0605688,1.1827385,1.0,1.251403,1.2068188,1.5486002,1.4384614,1.3844405,1.6925981,1.8253264
557,drummer3,drummer3/session2,drummer3/session2/12,rock,drummer3/session2/12_rock_100_beat_4-4.mid,drummer3/session2/12_rock_100_beat_4-4.wav,100,train,1.009416,1.5813831,1.7675772,1.0219437,1.619554,1.1824937,1.078694,1.0582682,1.0,1.1465065,1.1747433,1.6948943,1.4400152,1.0925233,1.2571622,1.3566365
558,drummer3,drummer3/session2,drummer3/session2/13,rock,drummer3/session2/13_rock_100_beat_4-4.mid,drummer3/session2/13_rock_100_beat_4-4.wav,100,train,1.3075817,1.7638772,1.9431274,2.0957637,1.0136733,1.578519,1.9027126,1.3726892,1.4460908,1.2879825,1.0896187,1.164415,1.0,1.2307793,1.6514547,1.9119613
559,drummer3,drummer3/session2,drummer3/session2/14,rock,drummer3/session2/14_rock_100_beat_4-4.mid,drummer3/session2/14_rock_100_beat_4-4.wav,100,train,1.0939453,1.606045,1.8236285,1.9527421,1.2272571,1.3508914,1.726488,1.4226515,1.24816,1.323717,1.0039737,1.1724384,1.0137863,1.0,1.4947454,1.7628982
560,drummer3,drummer3/session2,drummer3/session2/15,rock,drummer3/session2/15_rock_100_beat_4-4.mid,drummer3/session2/15_rock_100_beat_4-4.wav,100,train,1.0561961,1.6927766,1.9157175,1.0805788,1.748024,1.0002043,1.1458641,1.746155,1.0,1.4502647,1.886699,2.0871434,1.5821162,1.4661819,1.7502136,1.9274743
